customer_key,customer_id,customer_number,first_name,last_name,country,marital_status,gender,birthdate,create_date
1,10001,CUS-010001,Michael,Jimenez,Brazil,M,M,1964-03-24,2011-02-24
2,10002,CUS-010002,Dylan,Collins,United States,M,M,1955-04-08,2015-09-01
3,10003,CUS-010003,Adam,Lewis,Poland,,M,1967-01-25,2019-01-14
4,10004,CUS-010004,Donna,Ramirez,Netherlands,M,F,1955-07-04,2014-01-10
5,10005,CUS-010005,Ralph,Murphy,United Kingdom,S,M,1955-09-10,2019-04-21
6,10006,CUS-010006,Teresa,Harris,Germany,M,F,1992-04-25,2013-03-31
7,10007,CUS-010007,Jerry,Scott,Portugal,,M,1973-03-12,2013-12-26
8,10008,CUS-010008,Jordan,Gray,Canada,,M,1996-04-06,2015-03-09
9,10009,CUS-010009,Ryan,Castillo,Spain,M,M,1964-01-26,2013-07-16
10,10010,CUS-010010,Roy,Green,Australia,,M,1981-07-21,2015-02-23
11,10011,CUS-010011,Gerald,King,Austria,,M,1975-06-08,2011-07-21
12,10012,CUS-010012,Donald,Martin,Canada,,M,1977-10-03,2014-04-26
13,10013,CUS-010013,Eric,Ramos,United States,,M,1996-02-22,2019-12-04
14,10014,CUS-010014,Sandra,Nguyen,Austria,M,F,1979-01-24,2019-10-28
15,10015,CUS-010015,Megan,Wilson,Italy,,F,1982-10-07,2011-09-19
16,10016,CUS-010016,James,Brooks,Spain,S,M,1951-02-12,2019-11-09
17,10017,CUS-010017,Jessica,Walker,Germany,M,F,1996-08-27,2010-10-11
18,10018,CUS-010018,Dorothy,Hughes,New Zealand,,F,1960-05-17,2019-10-14
19,10019,CUS-010019,Bobby,Foster,Australia,,M,1969-07-22,2017-04-15
20,10020,CUS-010020,Steven,Young,Japan,M,M,1971-01-19,2016-03-18
21,10021,CUS-010021,Randy,Bennett,United States,M,M,1954-01-28,2013-09-15
22,10022,CUS-010022,Jeffrey,Howard,United Kingdom,,M,1986-10-16,2012-09-22
23,10023,CUS-010023,Betty,Gonzalez,Austria,S,F,1977-07-15,2019-09-09
24,10024,CUS-010024,Joseph,Phillips,Netherlands,M,M,1965-04-07,2016-01-06
25,10025,CUS-010025,Judith,Young,Germany,S,F,1985-02-02,2017-04-25
26,10026,CUS-010026,Bobby,Walker,Canada,S,M,1981-08-07,2019-09-12
27,10027,CUS-010027,James,Roberts,Mexico,S,M,1968-07-23,2018-03-12
28,10028,CUS-010028,Joshua,Harris,India,M,M,1953-10-24,2016-01-30
29,10029,CUS-010029,Lawrence,Gutierrez,Singapore,,M,1960-01-17,2010-11-25
30,10030,CUS-010030,Alan,Walker,Denmark,M,M,1986-04-19,2016-09-01
31,10031,CUS-010031,Carl,Bailey,Spain,S,M,1963-11-23,2013-07-10
32,10032,CUS-010032,Lauren,Green,Germany,M,F,1979-10-19,2011-02-14
33,10033,CUS-010033,Dorothy,Hall,Germany,M,F,1973-05-06,2014-11-30
34,10034,CUS-010034,Logan,Reed,United States,,M,1985-05-22,2011-03-01
35,10035,CUS-010035,Mark,Powell,France,S,M,1968-10-07,2018-01-18
36,10036,CUS-010036,,Ortiz,Mexico,M,F,1955-11-14,2019-04-21
37,10037,CUS-010037,Judy,King,Canada,,F,1978-09-23,2014-10-18
38,10038,CUS-010038,Jean,Jones,Switzerland,,F,1985-03-14,2011-06-07
39,10039,CUS-010039,Patrick,Clark,Japan,,M,1956-06-25,2016-04-12
40,10040,CUS-010040,Russell,Martin,Japan,M,M,1961-07-01,2012-01-05
41,10041,CUS-010041,Willie,Jimenez,Japan,S,M,1960-12-04,2014-04-16
42,10042,CUS-010042,Stephanie,Murphy,Sweden,S,F,2000-04-08,2010-04-07
43,10043,CUS-010043,Sarah,Scott,Sweden,,F,1982-07-22,2019-06-18
44,10044,CUS-010044,Stephen,Thompson,Mexico,M,M,1956-10-14,2013-11-16
45,10045,CUS-010045,Keith,Anderson,Norway,,M,1962-05-02,2017-12-13
46,10046,CUS-010046,Juan,Ross,Australia,S,M,1977-02-22,2013-09-14
47,10047,CUS-010047,Vincent,Hill,Singapore,S,M,1992-07-11,2014-07-07
48,10048,CUS-010048,Victoria,Price,Norway,,F,1997-03-20,2016-05-20
49,10049,CUS-010049,Brandon,Torres,Australia,S,M,2000-10-20,2017-05-05
50,10050,CUS-010050,Andrea,Rogers,Canada,,F,1955-05-17,2017-06-12
51,10051,CUS-010051,Amber,Flores,Japan,M,F,1959-01-02,2012-09-29
52,10052,CUS-010052,Peter,Parker,Australia,,M,1994-07-16,2014-06-25
53,10053,CUS-010053,Bobby,Wilson,Austria,M,M,1961-12-17,2015-03-18
54,10054,CUS-010054,Peter,Moore,Portugal,,M,1983-09-20,2013-07-23
55,10055,CUS-010055,Vincent,Cooper,Austria,,M,1978-03-24,2019-08-30
56,10056,CUS-010056,Judy,Scott,UAE,S,F,1990-04-09,2014-12-07
57,10057,CUS-010057,Christine,Green,Germany,M,F,1959-04-13,2017-10-13
58,10058,CUS-010058,Henry,Nelson,Portugal,S,M,1953-04-27,2014-09-17
59,10059,CUS-010059,Mason,Ward,Norway,S,M,1950-06-10,2018-06-14
60,10060,CUS-010060,Gerald,Powell,Japan,S,M,1964-05-14,2015-06-13
61,10061,CUS-010061,Vincent,Perez,Portugal,M,M,1989-09-01,2014-06-02
62,10062,CUS-010062,Joe,Collins,United Kingdom,S,M,1961-01-09,2014-04-02
63,10063,CUS-010063,Maria,Scott,Belgium,S,F,1955-08-01,2018-05-27
64,10064,CUS-010064,Laura,Ruiz,Germany,,F,1952-01-08,2012-03-27
65,10065,CUS-010065,Dorothy,Rogers,United Kingdom,,F,1963-08-23,2012-11-15
